Tuning Logit hyper-parameters

Tuning hyper-parameters for precision

Best parameters set found on development set:

{'C': 10.0, 'class_weight': 'balanced', 'l1_ratio': 0.5, 'max_iter': 250, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}

Grid scores on development set:

0.535 (+/-0.447) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 0, 'max_iter': 250, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.535 (+/-0.447) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 0, 'max_iter': 250, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.586 (+/-0.490) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 0, 'max_iter': 250, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.586 (+/-0.490) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 0, 'max_iter': 500, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.535 (+/-0.447) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 0, 'max_iter': 500, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.535 (+/-0.447) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 0, 'max_iter': 500, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.586 (+/-0.490) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 0, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.535 (+/-0.447) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 0, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.535 (+/-0.447) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 0, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.285 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 0.5, 'max_iter': 250, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.285 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 0.5, 'max_iter': 250, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.285 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 0.5, 'max_iter': 250, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.285 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 0.5, 'max_iter': 500, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.285 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 0.5, 'max_iter': 500, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.285 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 0.5, 'max_iter': 500, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.285 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 0.5, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.285 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 0.5, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.285 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 0.5, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.285 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 1, 'max_iter': 250, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.285 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 1, 'max_iter': 250, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.285 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 1, 'max_iter': 250, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.285 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 1, 'max_iter': 500, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.285 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 1, 'max_iter': 500, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
0.285 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 1, 'max_iter': 500, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 0.001, 'warm_start': True}
0.285 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 1, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 1e-05, 'warm_start': True}
0.285 (+/-0.001) for {'C': 0.1, 'class_weight': None, 'l1_ratio': 1, 'max_iter': 1000, 'penalty': 'elasticnet', 'solver': 'saga', 'tol': 0.0001, 'warm_start': True}
