Microsoft Windows [Version 10.0.17763.503]
(c) 2018 Microsoft Corporation. All rights reserved.

C:\WINDOWS\system32>netstat

Active Connections

  Proto  Local Address          Foreign Address        State
  TCP    127.0.0.1:2483         DESKTOP-AL5995A:53482  ESTABLISHED
  TCP    127.0.0.1:2484         DESKTOP-AL5995A:2485   ESTABLISHED
  TCP    127.0.0.1:2485         DESKTOP-AL5995A:2484   ESTABLISHED
  TCP    127.0.0.1:2486         DESKTOP-AL5995A:53483  ESTABLISHED
  TCP    127.0.0.1:2487         DESKTOP-AL5995A:2488   ESTABLISHED
  TCP    127.0.0.1:2488         DESKTOP-AL5995A:2487   ESTABLISHED
  TCP    127.0.0.1:2489         DESKTOP-AL5995A:53484  ESTABLISHED
  TCP    127.0.0.1:27015        DESKTOP-AL5995A:49782  ESTABLISHED
  TCP    127.0.0.1:27015        DESKTOP-AL5995A:52129  ESTABLISHED
  TCP    127.0.0.1:49782        DESKTOP-AL5995A:27015  ESTABLISHED
  TCP    127.0.0.1:52129        DESKTOP-AL5995A:27015  ESTABLISHED
  TCP    127.0.0.1:52291        DESKTOP-AL5995A:52292  ESTABLISHED
  TCP    127.0.0.1:52292        DESKTOP-AL5995A:52291  ESTABLISHED
  TCP    127.0.0.1:52303        DESKTOP-AL5995A:52304  ESTABLISHED
  TCP    127.0.0.1:52304        DESKTOP-AL5995A:52303  ESTABLISHED
  TCP    127.0.0.1:52305        DESKTOP-AL5995A:52306  ESTABLISHED
  TCP    127.0.0.1:52306        DESKTOP-AL5995A:52305  ESTABLISHED
  TCP    127.0.0.1:52307        DESKTOP-AL5995A:52308  ESTABLISHED
  TCP    127.0.0.1:52308        DESKTOP-AL5995A:52307  ESTABLISHED
  TCP    127.0.0.1:53482        DESKTOP-AL5995A:2483   ESTABLISHED
  TCP    127.0.0.1:53483        DESKTOP-AL5995A:2486   ESTABLISHED
  TCP    127.0.0.1:53483        DESKTOP-AL5995A:53543  ESTABLISHED
  TCP    127.0.0.1:53484        DESKTOP-AL5995A:2489   ESTABLISHED
  TCP    127.0.0.1:53485        DESKTOP-AL5995A:53517  ESTABLISHED
  TCP    127.0.0.1:53487        DESKTOP-AL5995A:53488  ESTABLISHED
  TCP    127.0.0.1:53488        DESKTOP-AL5995A:53487  ESTABLISHED
  TCP    127.0.0.1:53489        DESKTOP-AL5995A:53491  ESTABLISHED
  TCP    127.0.0.1:53491        DESKTOP-AL5995A:53489  ESTABLISHED
  TCP    127.0.0.1:53513        DESKTOP-AL5995A:53514  ESTABLISHED
  TCP    127.0.0.1:53514        DESKTOP-AL5995A:53513  ESTABLISHED
  TCP    127.0.0.1:53515        DESKTOP-AL5995A:53516  ESTABLISHED
  TCP    127.0.0.1:53516        DESKTOP-AL5995A:53515  ESTABLISHED
  TCP    127.0.0.1:53517        DESKTOP-AL5995A:53485  ESTABLISHED
  TCP    127.0.0.1:53518        DESKTOP-AL5995A:53519  ESTABLISHED
  TCP    127.0.0.1:53519        DESKTOP-AL5995A:53518  ESTABLISHED
  TCP    127.0.0.1:53520        DESKTOP-AL5995A:53521  ESTABLISHED
  TCP    127.0.0.1:53521        DESKTOP-AL5995A:53520  ESTABLISHED
  TCP    127.0.0.1:53522        DESKTOP-AL5995A:53523  ESTABLISHED
  TCP    127.0.0.1:53523        DESKTOP-AL5995A:53522  ESTABLISHED
  TCP    127.0.0.1:53524        DESKTOP-AL5995A:53525  ESTABLISHED
  TCP    127.0.0.1:53525        DESKTOP-AL5995A:53524  ESTABLISHED
  TCP    127.0.0.1:53526        DESKTOP-AL5995A:53527  ESTABLISHED
  TCP    127.0.0.1:53527        DESKTOP-AL5995A:53526  ESTABLISHED
  TCP    127.0.0.1:53528        DESKTOP-AL5995A:53529  ESTABLISHED
  TCP    127.0.0.1:53529        DESKTOP-AL5995A:53528  ESTABLISHED
  TCP    127.0.0.1:53530        DESKTOP-AL5995A:53531  ESTABLISHED
  TCP    127.0.0.1:53531        DESKTOP-AL5995A:53530  ESTABLISHED
  TCP    127.0.0.1:53533        DESKTOP-AL5995A:53534  ESTABLISHED
  TCP    127.0.0.1:53534        DESKTOP-AL5995A:53533  ESTABLISHED
  TCP    127.0.0.1:53535        DESKTOP-AL5995A:53536  ESTABLISHED
  TCP    127.0.0.1:53536        DESKTOP-AL5995A:53535  ESTABLISHED
  TCP    127.0.0.1:53537        DESKTOP-AL5995A:53538  ESTABLISHED
  TCP    127.0.0.1:53538        DESKTOP-AL5995A:53537  ESTABLISHED
  TCP    127.0.0.1:53539        DESKTOP-AL5995A:53540  ESTABLISHED
  TCP    127.0.0.1:53540        DESKTOP-AL5995A:53539  ESTABLISHED
  TCP    127.0.0.1:53541        DESKTOP-AL5995A:53542  ESTABLISHED
  TCP    127.0.0.1:53542        DESKTOP-AL5995A:53541  ESTABLISHED
  TCP    127.0.0.1:53543        DESKTOP-AL5995A:53483  ESTABLISHED
  TCP    127.0.0.1:53544        DESKTOP-AL5995A:53545  ESTABLISHED
  TCP    127.0.0.1:53545        DESKTOP-AL5995A:53544  ESTABLISHED
  TCP    127.0.0.1:53546        DESKTOP-AL5995A:53547  ESTABLISHED
  TCP    127.0.0.1:53547        DESKTOP-AL5995A:53546  ESTABLISHED
  TCP    127.0.0.1:53562        DESKTOP-AL5995A:53563  ESTABLISHED
  TCP    127.0.0.1:53563        DESKTOP-AL5995A:53562  ESTABLISHED
  TCP    127.0.0.1:61754        DESKTOP-AL5995A:2463   ESTABLISHED
  TCP    127.0.0.1:61755        DESKTOP-AL5995A:2466   ESTABLISHED
  TCP    127.0.0.1:61755        DESKTOP-AL5995A:61783  ESTABLISHED
  TCP    127.0.0.1:61756        DESKTOP-AL5995A:2469   ESTABLISHED
  TCP    127.0.0.1:61757        DESKTOP-AL5995A:61781  ESTABLISHED
  TCP    127.0.0.1:61759        DESKTOP-AL5995A:61760  ESTABLISHED
  TCP    127.0.0.1:61760        DESKTOP-AL5995A:61759  ESTABLISHED
  TCP    127.0.0.1:61762        DESKTOP-AL5995A:61763  ESTABLISHED
  TCP    127.0.0.1:61763        DESKTOP-AL5995A:61762  ESTABLISHED
  TCP    127.0.0.1:61781        DESKTOP-AL5995A:61757  ESTABLISHED
  TCP    127.0.0.1:61783        DESKTOP-AL5995A:61755  ESTABLISHED
  TCP    127.0.0.1:61784        DESKTOP-AL5995A:61785  ESTABLISHED
  TCP    127.0.0.1:61785        DESKTOP-AL5995A:61784  ESTABLISHED
  TCP    127.0.0.1:61786        DESKTOP-AL5995A:61787  ESTABLISHED
  TCP    127.0.0.1:61787        DESKTOP-AL5995A:61786  ESTABLISHED
  TCP    127.0.0.1:61788        DESKTOP-AL5995A:61789  ESTABLISHED
  TCP    127.0.0.1:61789        DESKTOP-AL5995A:61788  ESTABLISHED
  TCP    127.0.0.1:61790        DESKTOP-AL5995A:61791  ESTABLISHED
  TCP    127.0.0.1:61791        DESKTOP-AL5995A:61790  ESTABLISHED
  TCP    127.0.0.1:61792        DESKTOP-AL5995A:61793  ESTABLISHED
  TCP    127.0.0.1:61793        DESKTOP-AL5995A:61792  ESTABLISHED
  TCP    127.0.0.1:61794        DESKTOP-AL5995A:61795  ESTABLISHED
  TCP    127.0.0.1:61795        DESKTOP-AL5995A:61794  ESTABLISHED
  TCP    127.0.0.1:61796        DESKTOP-AL5995A:61797  ESTABLISHED
  TCP    127.0.0.1:61797        DESKTOP-AL5995A:61796  ESTABLISHED
  TCP    127.0.0.1:61798        DESKTOP-AL5995A:61799  ESTABLISHED
  TCP    127.0.0.1:61799        DESKTOP-AL5995A:61798  ESTABLISHED
  TCP    127.0.0.1:61800        DESKTOP-AL5995A:61801  ESTABLISHED
  TCP    127.0.0.1:61801        DESKTOP-AL5995A:61800  ESTABLISHED
  TCP    127.0.0.1:61803        DESKTOP-AL5995A:61804  ESTABLISHED
  TCP    127.0.0.1:61804        DESKTOP-AL5995A:61803  ESTABLISHED
  TCP    127.0.0.1:61805        DESKTOP-AL5995A:61806  ESTABLISHED
  TCP    127.0.0.1:61806        DESKTOP-AL5995A:61805  ESTABLISHED
  TCP    127.0.0.1:61807        DESKTOP-AL5995A:61808  ESTABLISHED
  TCP    127.0.0.1:61808        DESKTOP-AL5995A:61807  ESTABLISHED
  TCP    127.0.0.1:61809        DESKTOP-AL5995A:61810  ESTABLISHED
  TCP    127.0.0.1:61810        DESKTOP-AL5995A:61809  ESTABLISHED
  TCP    127.0.0.1:61811        DESKTOP-AL5995A:61812  ESTABLISHED
  TCP    127.0.0.1:61812        DESKTOP-AL5995A:61811  ESTABLISHED
  TCP    127.0.0.1:61813        DESKTOP-AL5995A:61814  ESTABLISHED
  TCP    127.0.0.1:61814        DESKTOP-AL5995A:61813  ESTABLISHED
  TCP    127.0.0.1:61815        DESKTOP-AL5995A:61816  ESTABLISHED
  TCP    127.0.0.1:61816        DESKTOP-AL5995A:61815  ESTABLISHED
  TCP    192.168.1.79:1518      151.101.250.49:https   ESTABLISHED
  TCP    192.168.1.79:1638      HPBEB2B1:8080          ESTABLISHED
  TCP    192.168.1.79:1753      52.242.210.82:https    ESTABLISHED
  TCP    192.168.1.79:1845      52.114.132.73:https    TIME_WAIT
  TCP    192.168.1.79:1847      52.109.6.6:https       TIME_WAIT
  TCP    192.168.1.79:1850      52.114.75.79:https     ESTABLISHED
  TCP    192.168.1.79:1851      ec2-54-154-216-23:https  TIME_WAIT
  TCP    192.168.1.79:1852      ec2-54-154-216-23:https  FIN_WAIT_1
  TCP    192.168.1.79:2647      17.249.124.202:5223    ESTABLISHED
  TCP    192.168.1.79:3422      52.242.210.82:https    ESTABLISHED
  TCP    [::1]:1962             DESKTOP-AL5995A:8888   ESTABLISHED
  TCP    [::1]:2460             DESKTOP-AL5995A:8888   ESTABLISHED
  TCP    [::1]:2480             DESKTOP-AL5995A:8888   ESTABLISHED
  TCP    [::1]:8888             DESKTOP-AL5995A:1962   ESTABLISHED
  TCP    [::1]:8888             DESKTOP-AL5995A:ms-theater  ESTABLISHED
  TCP    [::1]:8888             DESKTOP-AL5995A:2480   ESTABLISHED
  TCP    [2600:6c64:657f:f499:0:ab34:2e17:2a78]:1035  jd-in-x7d:5222         ESTABLISHED
  TCP    [2600:6c64:657f:f499:0:ab34:2e17:2a78]:1391  ord37s08-in-x0a:https  CLOSE_WAIT
  TCP    [2600:6c64:657f:f499:0:ab34:2e17:2a78]:1392  ord38s08-in-x0d:https  CLOSE_WAIT
  TCP    [2600:6c64:657f:f499:0:ab34:2e17:2a78]:1689  ord38s09-in-x0a:https  CLOSE_WAIT
  TCP    [2600:6c64:657f:f499:0:ab34:2e17:2a78]:1808  im-in-xbc:5228         ESTABLISHED
  TCP    [2600:6c64:657f:f499:0:ab34:2e17:2a78]:1849  ord30s25-in-x05:https  ESTABLISHED
  TCP    [2600:6c64:657f:f499:0:ab34:2e17:2a78]:2356  g2600-1408-0020-0392-0000-0000-0000-0057:https  CLOSE_WAIT
  TCP    [2600:6c64:657f:f499:0:ab34:2e17:2a78]:3429  g2600-1408-0020-0198-0000-0000-0000-02a1:https  CLOSE_WAIT
  TCP    [2600:6c64:657f:f499:0:ab34:2e17:2a78]:3432  [2620:149:a42:200::c]:https  CLOSE_WAIT

C:\WINDOWS\system32>
